"","Taxon","NestingModallupper"
"Cheliomyrmex_andicola","Cheliomyrmex_andicola","1"
"Labidus_coecus","Labidus_coecus","1"
"Labidus_praedator","Labidus_praedator","1"
"Nomamyrmex_hartigii","Nomamyrmex_hartigii","1"
"Nomamyrmex_esenbeckii","Nomamyrmex_esenbeckii","1"
"Eciton_burchellii","Eciton_burchellii","1"
"Eciton_hamatum","Eciton_hamatum","1"
"Eciton_vagans","Eciton_vagans","1"
"Eciton_mexicanum","Eciton_mexicanum","1"
"Eciton_dulcium","Eciton_dulcium","1"
"Labidus_spininodis","Labidus_spininodis","1"
"Neivamyrmex_pilosus","Neivamyrmex_pilosus","1"
"Neivamyrmex_opacithorax","Neivamyrmex_opacithorax","1"
"Neivamyrmex_nigrescens","Neivamyrmex_nigrescens","1"
"Neivamyrmex_swainsonii","Neivamyrmex_swainsonii","1"
"Neivamyrmex_romandii","Neivamyrmex_romandii","1"
"Neivamyrmex_halidaii","Neivamyrmex_halidaii","1"
"Neivamyrmex_postcarinatus","Neivamyrmex_postcarinatus","1"
"Neivamyrmex_angustinodis","Neivamyrmex_angustinodis","1"
"Neivamyrmex_pseudops","Neivamyrmex_pseudops","1"
"Neivamyrmex_gibbatus","Neivamyrmex_gibbatus","1"
"Aneuretus_simoni","Aneuretus_simoni","1"
"Aptinoma_mangabe","Aptinoma_mangabe","2"
"Aptinoma_antongil","Aptinoma_antongil","2"
"Liometopum_luctuosum","Liometopum_luctuosum","2"
"Liometopum_occidentale","Liometopum_occidentale","2"
"Liometopum_apiculatum","Liometopum_apiculatum","2"
"Tapinoma_opacum","Tapinoma_opacum","2"
"Tapinoma_subtile","Tapinoma_subtile","2"
"Tapinoma_erraticum","Tapinoma_erraticum","2"
"Tapinoma_nigerrimum","Tapinoma_nigerrimum","2"
"Axinidris_murielae","Axinidris_murielae","2"
"Axinidris_mlalu","Axinidris_mlalu","2"
"Technomyrmex_fisheri","Technomyrmex_fisheri","2"
"Technomyrmex_voeltzkowi","Technomyrmex_voeltzkowi","2"
"Technomyrmex_mayri","Technomyrmex_mayri","2"
"Technomyrmex_anterops","Technomyrmex_anterops","2"
"Technomyrmex_innocens","Technomyrmex_innocens","2"
"Technomyrmex_madecassus","Technomyrmex_madecassus","2"
"Loweriella_boltoni","Loweriella_boltoni","1"
"Chronoxenus_wroughtonii","Chronoxenus_wroughtonii","1"
"Bothriomyrmex_paradoxus","Bothriomyrmex_paradoxus","1"
"Bothriomyrmex_meridionalis","Bothriomyrmex_meridionalis","1"
"Bothriomyrmex_saundersi","Bothriomyrmex_saundersi","1"
"Dolichoderus_decollatus","Dolichoderus_decollatus","2"
"Dolichoderus_erectilobus","Dolichoderus_erectilobus","2"
"Dolichoderus_pustulatus","Dolichoderus_pustulatus","2"
"Dolichoderus_scabridus","Dolichoderus_scabridus","2"
"Dolichoderus_imitator","Dolichoderus_imitator","2"
"Dolichoderus_lamellosus","Dolichoderus_lamellosus","2"
"Dolichoderus_debilis","Dolichoderus_debilis","2"
"Gracilidris_pombero","Gracilidris_pombero","1"
"Azteca_quadraticeps","Azteca_quadraticeps","2"
"Azteca_beltii","Azteca_beltii","2"
"Azteca_oecocordia","Azteca_oecocordia","2"
"Azteca_pittieri","Azteca_pittieri","2"
"Azteca_instabilis","Azteca_instabilis","2"
"Azteca_ovaticeps","Azteca_ovaticeps","2"
"Azteca_schimperi","Azteca_schimperi","2"
"Forelius_chalybaeus","Forelius_chalybaeus","1"
"Forelius_pruinosus","Forelius_pruinosus","1"
"Dorymyrmex_elegans","Dorymyrmex_elegans","1"
"Dorymyrmex_grandulus","Dorymyrmex_grandulus","1"
"Dorymyrmex_bicolor","Dorymyrmex_bicolor","1"
"Leptomyrmex_burwelli","Leptomyrmex_burwelli","1"
"Leptomyrmex_dolichoscapus","Leptomyrmex_dolichoscapus","1"
"Leptomyrmex_garretti","Leptomyrmex_garretti","1"
"Leptomyrmex_tibialis","Leptomyrmex_tibialis","1"
"Leptomyrmex_nigriventris","Leptomyrmex_nigriventris","1"
"Leptomyrmex_wiburdi","Leptomyrmex_wiburdi","1"
"Leptomyrmex_cnemidatus","Leptomyrmex_cnemidatus","1"
"Leptomyrmex_erythrocephalus","Leptomyrmex_erythrocephalus","1"
"Leptomyrmex_geniculatus","Leptomyrmex_geniculatus","1"
"Leptomyrmex_nigriceps","Leptomyrmex_nigriceps","1"
"Leptomyrmex_pallens","Leptomyrmex_pallens","1"
"Leptomyrmex_rufithorax","Leptomyrmex_rufithorax","1"
"Leptomyrmex_rufipes","Leptomyrmex_rufipes","1"
"Leptomyrmex_ruficeps","Leptomyrmex_ruficeps","1"
"Leptomyrmex_rothneyi","Leptomyrmex_rothneyi","1"
"Leptomyrmex_mjobergi","Leptomyrmex_mjobergi","1"
"Leptomyrmex_varians","Leptomyrmex_varians","1"
"Leptomyrmex_unicolor","Leptomyrmex_unicolor","1"
"Leptomyrmex_niger","Leptomyrmex_niger","1"
"Leptomyrmex_fragilis","Leptomyrmex_fragilis","1"
"Leptomyrmex_darlingtoni","Leptomyrmex_darlingtoni","1"
"Leptomyrmex_puberulus","Leptomyrmex_puberulus","1"
"Leptomyrmex_flavitarsus","Leptomyrmex_flavitarsus","1"
"Papyrius_nitidus","Papyrius_nitidus","2"
"Anonychomyrma_itinerans","Anonychomyrma_itinerans","2"
"Anonychomyrma_nitidiceps","Anonychomyrma_nitidiceps","2"
"Anonychomyrma_gilberti","Anonychomyrma_gilberti","2"
"Nebothriomyrmex_majeri","Nebothriomyrmex_majeri","1"
"Philidris_cordata","Philidris_cordata","2"
"Turneria_bidentata","Turneria_bidentata","2"
"Froggattella_kirbii","Froggattella_kirbii","2"
"Froggattella_latispina","Froggattella_latispina","2"
"Iridomyrmex_pallidus","Iridomyrmex_pallidus","1"
"Iridomyrmex_sanguineus","Iridomyrmex_sanguineus","1"
"Iridomyrmex_purpureus","Iridomyrmex_purpureus","1"
"Iridomyrmex_spadius","Iridomyrmex_spadius","1"
"Linepithema_angulatum","Linepithema_angulatum","2"
"Linepithema_cryptobioticum","Linepithema_cryptobioticum","2"
"Linepithema_piliferum","Linepithema_piliferum","2"
"Linepithema_tsachila","Linepithema_tsachila","2"
"Linepithema_keiteli","Linepithema_keiteli","2"
"Linepithema_dispertitum","Linepithema_dispertitum","2"
"Linepithema_pulex","Linepithema_pulex","2"
"Linepithema_aztecoides","Linepithema_aztecoides","2"
"Linepithema_neotropicum","Linepithema_neotropicum","2"
"Linepithema_cerradense","Linepithema_cerradense","2"
"Linepithema_oblongum","Linepithema_oblongum","2"
"Linepithema_gallardoi","Linepithema_gallardoi","2"
"Linepithema_anathema","Linepithema_anathema","2"
"Linepithema_micans","Linepithema_micans","2"
"Nothomyrmecia_macrops","Nothomyrmecia_macrops","1"
"Myrmecia_esuriens","Myrmecia_esuriens","1"
"Myrmecia_gulosa","Myrmecia_gulosa","1"
"Myrmecia_athertonensis","Myrmecia_athertonensis","1"
"Myrmecia_pulchra","Myrmecia_pulchra","1"
"Myrmecia_rufinodis","Myrmecia_rufinodis","1"
"Myrmecia_fabricii","Myrmecia_fabricii","1"
"Myrmecia_forceps","Myrmecia_forceps","1"
"Myrmecia_midas","Myrmecia_midas","1"
"Myrmecia_nigrocincta","Myrmecia_nigrocincta","1"
"Myrmecia_petiolata","Myrmecia_petiolata","1"
"Myrmecia_tarsata","Myrmecia_tarsata","1"
"Myrmecia_nigriscapa","Myrmecia_nigriscapa","1"
"Myrmecia_rowlandi","Myrmecia_rowlandi","1"
"Myrmecia_eungellensis","Myrmecia_eungellensis","1"
"Myrmecia_loweryi","Myrmecia_loweryi","1"
"Myrmecia_urens","Myrmecia_urens","1"
"Myrmecia_fucosa","Myrmecia_fucosa","1"
"Myrmecia_picta","Myrmecia_picta","1"
"Myrmecia_tepperi","Myrmecia_tepperi","1"
"Myrmecia_formosa","Myrmecia_formosa","1"
"Myrmecia_froggatti","Myrmecia_froggatti","1"
"Myrmecia_mandibularis","Myrmecia_mandibularis","1"
"Myrmecia_fulvipes","Myrmecia_fulvipes","1"
"Myrmecia_piliventris","Myrmecia_piliventris","1"
"Myrmecia_fulviculis","Myrmecia_fulviculis","1"
"Myrmecia_michaelseni","Myrmecia_michaelseni","1"
"Myrmecia_chrysogaster","Myrmecia_chrysogaster","1"
"Myrmecia_testaceipes","Myrmecia_testaceipes","1"
"Myrmecia_varians","Myrmecia_varians","1"
"Myrmecia_harderi","Myrmecia_harderi","1"
"Myrmecia_swalei","Myrmecia_swalei","1"
"Myrmecia_pilosula","Myrmecia_pilosula","1"
"Myrmecia_croslandi","Myrmecia_croslandi","1"
"Myrmecia_chasei","Myrmecia_chasei","1"
"Myrmecia_callima","Myrmecia_callima","1"
"Tetraponera_pilosa","Tetraponera_pilosa","2"
"Tetraponera_latifrons","Tetraponera_latifrons","2"
"Tetraponera_aethiops","Tetraponera_aethiops","2"
"Tetraponera_andrei","Tetraponera_andrei","2"
"Tetraponera_anthracina","Tetraponera_anthracina","2"
"Tetraponera_mocquerysi","Tetraponera_mocquerysi","2"
"Tetraponera_schulthessi","Tetraponera_schulthessi","2"
"Tetraponera_natalensis","Tetraponera_natalensis","2"
"Tetraponera_caffra","Tetraponera_caffra","2"
"Tetraponera_manangotra","Tetraponera_manangotra","2"
"Tetraponera_inermis","Tetraponera_inermis","2"
"Tetraponera_merita","Tetraponera_merita","2"
"Tetraponera_variegata","Tetraponera_variegata","2"
"Tetraponera_grandidieri","Tetraponera_grandidieri","2"
"Tetraponera_hespera","Tetraponera_hespera","2"
"Tetraponera_hirsuta","Tetraponera_hirsuta","2"
"Tetraponera_phragmotica","Tetraponera_phragmotica","2"
"Tetraponera_ambigua","Tetraponera_ambigua","2"
"Tetraponera_ophthalmica","Tetraponera_ophthalmica","2"
"Tetraponera_parops","Tetraponera_parops","2"
"Tetraponera_attenuata","Tetraponera_attenuata","2"
"Tetraponera_nigra","Tetraponera_nigra","2"
"Tetraponera_nitida","Tetraponera_nitida","2"
"Tetraponera_difficilis","Tetraponera_difficilis","2"
"Tetraponera_binghami","Tetraponera_binghami","2"
"Tetraponera_polita","Tetraponera_polita","2"
"Tetraponera_tucurua","Tetraponera_tucurua","2"
"Tetraponera_punctulata","Tetraponera_punctulata","2"
"Tetraponera_rotula","Tetraponera_rotula","2"
"Tetraponera_laeviceps","Tetraponera_laeviceps","2"
"Tetraponera_mimula","Tetraponera_mimula","2"
"Tetraponera_mandibularis","Tetraponera_mandibularis","2"
"Tetraponera_fictrix","Tetraponera_fictrix","2"
"Tetraponera_sahlbergii","Tetraponera_sahlbergii","2"
"Tetraponera_rakotonis","Tetraponera_rakotonis","2"
"Tetraponera_hysterica","Tetraponera_hysterica","2"
"Tetraponera_morondaviensis","Tetraponera_morondaviensis","2"
"Tetraponera_perlonga","Tetraponera_perlonga","2"
"Tetraponera_penzigi","Tetraponera_penzigi","2"
"Tetraponera_tessmanni","Tetraponera_tessmanni","2"
"Tetraponera_clypeata","Tetraponera_clypeata","2"
"Tetraponera_emeryi","Tetraponera_emeryi","2"
"Tetraponera_microcarpa","Tetraponera_microcarpa","2"
"Tetraponera_allaborans","Tetraponera_allaborans","2"
"Tetraponera_extenuata","Tetraponera_extenuata","2"
"Tetraponera_modesta","Tetraponera_modesta","2"
"Myrcidris_epicharis","Myrcidris_epicharis","2"
"Pseudomyrmex_beccarii","Pseudomyrmex_beccarii","2"
"Pseudomyrmex_sericeus","Pseudomyrmex_sericeus","2"
"Pseudomyrmex_ita","Pseudomyrmex_ita","2"
"Pseudomyrmex_lisus","Pseudomyrmex_lisus","2"
"Pseudomyrmex_fortis","Pseudomyrmex_fortis","2"
"Pseudomyrmex_rubiginosus","Pseudomyrmex_rubiginosus","2"
"Pseudomyrmex_crudelis","Pseudomyrmex_crudelis","2"
"Pseudomyrmex_ferox","Pseudomyrmex_ferox","2"
"Pseudomyrmex_eculeus","Pseudomyrmex_eculeus","2"
"Pseudomyrmex_godmani","Pseudomyrmex_godmani","2"
"Pseudomyrmex_niger","Pseudomyrmex_niger","2"
"Pseudomyrmex_unicolor","Pseudomyrmex_unicolor","2"
"Pseudomyrmex_pupa","Pseudomyrmex_pupa","2"
"Pseudomyrmex_laevigatus","Pseudomyrmex_laevigatus","2"
"Pseudomyrmex_osurus","Pseudomyrmex_osurus","2"
"Pseudomyrmex_atripes","Pseudomyrmex_atripes","2"
"Pseudomyrmex_faber","Pseudomyrmex_faber","2"
"Pseudomyrmex_venustus","Pseudomyrmex_venustus","2"
"Pseudomyrmex_major","Pseudomyrmex_major","2"
"Pseudomyrmex_nigropilosus","Pseudomyrmex_nigropilosus","2"
"Pseudomyrmex_maculatus","Pseudomyrmex_maculatus","2"
"Pseudomyrmex_opaciceps","Pseudomyrmex_opaciceps","2"
"Pseudomyrmex_santschii","Pseudomyrmex_santschii","2"
"Pseudomyrmex_hospitalis","Pseudomyrmex_hospitalis","2"
"Pseudomyrmex_filiformis","Pseudomyrmex_filiformis","2"
"Pseudomyrmex_denticollis","Pseudomyrmex_denticollis","2"
"Pseudomyrmex_termitarius","Pseudomyrmex_termitarius","2"
"Pseudomyrmex_boopis","Pseudomyrmex_boopis","2"
"Pseudomyrmex_tenuis","Pseudomyrmex_tenuis","2"
"Pseudomyrmex_spiculus","Pseudomyrmex_spiculus","2"
"Pseudomyrmex_tenuissimus","Pseudomyrmex_tenuissimus","2"
"Pseudomyrmex_fervidus","Pseudomyrmex_fervidus","2"
"Pseudomyrmex_rufomedius","Pseudomyrmex_rufomedius","2"
"Pseudomyrmex_salvini","Pseudomyrmex_salvini","2"
"Pseudomyrmex_apache","Pseudomyrmex_apache","2"
"Pseudomyrmex_championi","Pseudomyrmex_championi","2"
"Pseudomyrmex_elongatulus","Pseudomyrmex_elongatulus","2"
"Pseudomyrmex_kuenckeli","Pseudomyrmex_kuenckeli","2"
"Pseudomyrmex_longus","Pseudomyrmex_longus","2"
"Pseudomyrmex_lynceus","Pseudomyrmex_lynceus","2"
"Pseudomyrmex_phyllophilus","Pseudomyrmex_phyllophilus","2"
"Pseudomyrmex_pallens","Pseudomyrmex_pallens","2"
"Pseudomyrmex_tachigaliae","Pseudomyrmex_tachigaliae","2"
"Pseudomyrmex_malignus","Pseudomyrmex_malignus","2"
"Pseudomyrmex_penetrator","Pseudomyrmex_penetrator","2"
"Pseudomyrmex_insuavis","Pseudomyrmex_insuavis","2"
"Pseudomyrmex_concolor","Pseudomyrmex_concolor","2"
"Pseudomyrmex_subater","Pseudomyrmex_subater","2"
"Pseudomyrmex_duckei","Pseudomyrmex_duckei","2"
"Pseudomyrmex_triplaridis","Pseudomyrmex_triplaridis","2"
"Pseudomyrmex_viduus","Pseudomyrmex_viduus","2"
"Pseudomyrmex_mordax","Pseudomyrmex_mordax","2"
"Pseudomyrmex_triplarinus","Pseudomyrmex_triplarinus","2"
"Pseudomyrmex_ultrix","Pseudomyrmex_ultrix","2"
"Pseudomyrmex_dendroicus","Pseudomyrmex_dendroicus","2"
"Pseudomyrmex_schuppi","Pseudomyrmex_schuppi","2"
"Pseudomyrmex_oculatus","Pseudomyrmex_oculatus","2"
"Pseudomyrmex_cretus","Pseudomyrmex_cretus","2"
"Pseudomyrmex_curacaensis","Pseudomyrmex_curacaensis","2"
"Pseudomyrmex_cubaensis","Pseudomyrmex_cubaensis","2"
"Pseudomyrmex_caeciliae","Pseudomyrmex_caeciliae","2"
"Pseudomyrmex_eduardi","Pseudomyrmex_eduardi","2"
"Pseudomyrmex_urbanus","Pseudomyrmex_urbanus","2"
"Pseudomyrmex_elongatus","Pseudomyrmex_elongatus","2"
"Pseudomyrmex_depressus","Pseudomyrmex_depressus","2"
"Pseudomyrmex_haytianus","Pseudomyrmex_haytianus","2"
"Pseudomyrmex_laevifrons","Pseudomyrmex_laevifrons","2"
"Pseudomyrmex_perboscii","Pseudomyrmex_perboscii","2"
"Pseudomyrmex_nigrocinctus","Pseudomyrmex_nigrocinctus","2"
"Pseudomyrmex_particeps","Pseudomyrmex_particeps","2"
"Pseudomyrmex_peperi","Pseudomyrmex_peperi","2"
