"nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family","NCBI.ID","NCBITaxon","Order","Genus_Richness","SampledProp","Diet","Nesting","Foraging","DietMod","NestingMod","ForagingMod","DietModslashboth","DietModslashlower","DietModslashupper","DietModalllower","DietModallupper","DietModanyplant","DietModonlyplant","ForagingModalllower","ForagingModallupper","ForagingModanycanopy","NestingModalllower","NestingModallupper","NestingModanycanopy","DietModonlypred","DietModanypred","DietModonlyomni","DietModanyomni","ForagingModanyground","NestingModanyground"
"KJ860245","KJ860057","KJ861332","KJ861945","KJ861516","NA","KJ860674","KJ859869","KJ861142","KJ860911","KJ861753","KJ860482","Ankylomyrma_coronacantha","Ankylomyrma","Ankylomyrma","Agroecomyrmecinae","Formicidae","603033","Ankylomyrma_coronacantha","Hymenoptera","Ankylomyrma",1,"?","1","0&1","?","1","0&1","?","?","?","?","?","?","?","0","1","1","1","1","1","?","?","?","?","1","0"
"KJ860247","KJ860059","DQ352903","KJ861947","KJ861518","DQ353314","KJ860676","KJ859871","KJ861148","KJ860917","KJ861759","KJ860488","Tatuidris_tatusia","Tatuidris","Tatuidris","Agroecomyrmecinae","Formicidae","369239","Tatuidris_tatusia","Hymenoptera","Tatuidris",1,"2","0","1","2","0","1","2","2","2","2","2","0","0","1","1","1","0","0","0","1","1","0","0","0","1"
"NA","NA","KU672023","KU671552","KU671501","NA","NA","NA","KU671603","NA","KU671666","KU671729","Adetomyrma_bressleri","Adetomyrma","Adetomyrma","Amblyoponinae","Formicidae","1859171","Adetomyrma_bressleri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063364","KP280012","NA","NA","NA","NA","KU671604","NA","KU671667","KU671730","Adetomyrma_caputleae","Adetomyrma","Adetomyrma","Amblyoponinae","Formicidae","1639816","Adetomyrma_caputleae","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"KJ860244","KJ860056","KJ861331","AY233595","KJ861515","NA","KJ860673","KJ859868","KJ861141","KJ860910","KJ861752","KJ860481","Amblyopone_australis","Amblyopone","Amblyopone","Amblyoponinae","Formicidae","219765","Amblyopone_australis","Hymenoptera","Amblyopone",0.2,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672024","KU671553","KU671502","NA","NA","NA","KU671605","NA","KU671668","KU671731","Amblyopone_longidens","Amblyopone","Amblyopone","Amblyoponinae","Formicidae","602427","Amblyopone_longidens","Hymenoptera","Amblyopone",0.2,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012839","EF012967","EF013095","EF013675","EF013547","DQ353377","EF013228","EF013390","KU671608","NA","KU671671","KU671734","Apomyrma_stygia","Apomyrma","Apomyrma","Amblyoponinae","Formicidae","237768","Apomyrma_stygia","Hymenoptera","Apomyrma",1,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672035","KU671564","KU671513","NA","NA","NA","KU671621","NA","KU671684","KU671747","Fulakora_armigera","Fulakora","Fulakora","Amblyoponinae","Formicidae","602397","Stigmatomma_armigerum","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672041","KU671570","KU671519","NA","NA","NA","KU671627","NA","KU671690","KU671753","Fulakora_cleae","Fulakora","Fulakora","Amblyoponinae","Formicidae","602406","Stigmatomma_cleae","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325927","KU672044","KU671573","KU671522","NA","NA","NA","KU671630","NA","KU671693","KU671756","Fulakora_elongata","Fulakora","Fulakora","Amblyoponinae","Formicidae","237673","Stigmatomma_elongatum","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672032","KU671561","KU671510","NA","NA","NA","NA","NA","KU671680","KU671743","Fulakora_minima","Fulakora","Fulakora","Amblyoponinae","Formicidae","613852","Paraprionopelta_minima","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672054","KU671583","KU671532","NA","NA","NA","KU671640","NA","KU671703","KU671766","Fulakora_mystriops","Fulakora","Fulakora","Amblyoponinae","Formicidae","602435","Stigmatomma_mystriops","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672056","KU671585","KU671534","NA","NA","NA","KU671642","NA","KU671705","KU671768","Fulakora_saundersi","Fulakora","Fulakora","Amblyoponinae","Formicidae","602452","Stigmatomma_saundersi","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325929","DQ352964","KU671557","KU671506","DQ353381","NA","NA","KU671611","NA","KU671674","KU671737","Myopopone_castanea","Myopopone","Myopopone","Amblyoponinae","Formicidae","237740","Myopopone_castanea","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063359","KM579242","KM597300","NA","NA","NA","NA","NA","NA","NA","Mystrium_barrybressleri","Mystrium","Mystrium","Amblyoponinae","Formicidae","1639817","Mystrium_barrybressleri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672029","KU671558","KU671507","NA","NA","NA","KU671612","NA","KU671675","KU671738","Mystrium_camillae","Mystrium","Mystrium","Amblyoponinae","Formicidae","613017","Mystrium_camillae","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU361295","KM579243","KM597301","NA","NA","NA","NA","NA","NA","NA","Mystrium_janovitzi","Mystrium","Mystrium","Amblyoponinae","Formicidae","1674329","Mystrium_janovitzi","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063366","KM579244","KM597302","NA","NA","NA","NA","NA","NA","NA","Mystrium_mirror","Mystrium","Mystrium","Amblyoponinae","Formicidae","1639818","Mystrium_mirror","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012894","EF013022","EF013150","KM579245","KM597303","DQ176275","EF013301","EF013463","KU671613","JX310603","KU671676","KU671739","Mystrium_mysticum","Mystrium","Mystrium","Amblyoponinae","Formicidae","373792","Mystrium_mysticum","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063360","KM579246","KM597304","NA","NA","NA","NA","NA","NA","NA","Mystrium_oberthueri","Mystrium","Mystrium","Amblyoponinae","Formicidae","613021","Mystrium_oberthueri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325935","DQ352965","KM579247","KM597305","DQ353298","NA","NA","NA","NA","NA","NA","Mystrium_rogeri","Mystrium","Mystrium","Amblyoponinae","Formicidae","237746","Mystrium_rogeri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063374","KP280023","NA","NA","NA","NA","NA","NA","NA","NA","Mystrium_shadow","Mystrium","Mystrium","Amblyoponinae","Formicidae","1639819","Mystrium_shadow","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325933","KR063375","KM579248","KM597306","NA","NA","NA","NA","NA","NA","NA","Mystrium_voeltzkowi","Mystrium","Mystrium","Amblyoponinae","Formicidae","237744","Mystrium_voeltzkowi","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012901","EF013029","DQ352933","DQ353135","EF013609","NA","EF013310","EF013472","KU671615","NA","KU671678","KU671741","Onychomyrmex_hedleyi","Onychomyrmex","Onychomyrmex","Amblyoponinae","Formicidae","237750","Onychomyrmex_hedleyi","Hymenoptera","Onychomyrmex",0.25,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672033","KU671562","KU671511","NA","NA","NA","KU671618","NA","KU671681","KU671744","Prionopelta_amabilis","Prionopelta","Prionopelta","Amblyoponinae","Formicidae","621482","Prionopelta_amabilis","Hymenoptera","Prionopelta",0.14,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012855","EF012983","DQ352894","DQ353136","EF013563","DQ353277","EF013248","EF013410","KU671610","NA","KU671673","KU671736","Prionopelta_concenta","Prionopelta","Prionopelta","Amblyoponinae","Formicidae","237752","Concoctio_concenta","Hymenoptera","Prionopelta",0.14,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","NA","NA","NA","NA","NA","NA","KU671619","NA","KU671682","KU671745","Prionopelta_subtilis","Prionopelta","Prionopelta","Amblyoponinae","Formicidae","1859175","Prionopelta_subtilis","Hymenoptera","Prionopelta",0.14,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672036","KU671565","KU671514","NA","NA","NA","KU671622","NA","KU671685","KU671748","Stigmatomma_bellii","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602398","Stigmatomma_bellii","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672037","KU671566","KU671515","NA","NA","NA","KU671623","NA","KU671686","KU671749","Stigmatomma_boltoni","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","1851820","Stigmatomma_boltoni","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672043","KU671572","KU671521","NA","NA","NA","KU671629","NA","KU671692","KU671755","Stigmatomma_denticulatum","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602409","Stigmatomma_denticulatum","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325916","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stigmatomma_oregonense","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602440","Stigmatomma_oregonense","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"AY703487","AY703554","DQ352966","AY233594","AY703755","DQ353291","EF013219","EF013381","KJ523366","KJ523371","KJ523716","KJ523633","Stigmatomma_pallipes","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","231980","Stigmatomma_pallipes","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672027","KU671556","KU671505","NA","NA","NA","KU671609","NA","KU671672","KU671735","Stigmatomma_scrobiceps","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","1859173","Bannapone_scrobiceps","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325919","KU672058","KU671587","KU671536","NA","NA","NA","KU671644","NA","KU671707","KU671770","Stigmatomma_silvestrii","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","237732","Stigmatomma_silvestrii","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672063","KU671592","KU671541","NA","NA","NA","KU671649","NA","KU671712","KU671775","Stigmatomma_zwaluwenburgi","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602458","Stigmatomma_zwaluwenburgi","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012832","EF012960","EF013088","EF013668","EF013540","NA","EF013218","EF013380","KU671653","NA","KU671716","KU671779","Xymmer_muticus","Xymmer","Xymmer","Amblyoponinae","Formicidae","237739","Xymmer_muticus","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012833","EF012961","DQ352980","KR829180","KR829553","DQ353354","EF013220","EF013382","FJ939840","FJ939894","KJ523645","KJ523562","Aneuretus_simoni","Aneuretus","Aneuretus","Aneuretinae","Formicidae","369090","Aneuretus_simoni","Hymenoptera","Aneuretus",1,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"EF012835","EF012963","EF013091","EF013671","EF013543","NA","EF013222","EF013384","FJ939841","FJ939895","NA","NA","Anonychomyrma_gilberti","Anonychomyrma","Anonychomyrma","Dolichoderinae","Formicidae","411733","Anonychomyrma_gilberti","Hymenoptera","Anonychomyrma",0.12,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"FJ939744","FJ939776","FJ939808","FJ940012","FJ939979","NA","FJ940044","FJ939947","FJ939842","FJ939896","NA","NA","Anonychomyrma_itinerans","Anonychomyrma","Anonychomyrma","Dolichoderinae","Formicidae","602552","Anonychomyrma_itinerans","Hymenoptera","Anonychomyrma",0.12,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"NA","DQ353680","DQ352929","DQ353041","DQ353213","NA","NA","NA","NA","NA","NA","NA","Anonychomyrma_nitidiceps","Anonychomyrma","Anonychomyrma","Dolichoderinae","Formicidae","369092","Anonychomyrma_nitidiceps","Hymenoptera","Anonychomyrma",0.12,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"FJ939748","FJ939780","FJ939812","FJ940016","FJ939983","NA","FJ940048","FJ939951","FJ939846","FJ939900","NA","NA","Axinidris_mlalu","Axinidris","Axinidris","Dolichoderinae","Formicidae","602994","Axinidris_mlalu","Hymenoptera","Axinidris",0.1,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"FJ939749","FJ939781","FJ939813","FJ940017","FJ939984","NA","FJ940049","FJ939952","FJ939847","FJ939901","NA","NA","Axinidris_murielae","Axinidris","Axinidris","Dolichoderinae","Formicidae","602995","Axinidris_murielae","Hymenoptera","Axinidris",0.1,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"NA","NA","NA","NA","NA","JQ867515","NA","NA","NA","NA","NA","NA","Azteca_beltii","Azteca","Azteca","Dolichoderinae","Formicidae","602831","Azteca_beltii","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"FJ939750","FJ939782","FJ939814","FJ940018","FJ939985","NA","FJ940050","FJ939953","FJ939848","FJ939902","NA","NA","Azteca_instabilis","Azteca","Azteca","Dolichoderinae","Formicidae","602870","Azteca_instabilis","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"NA","NA","NA","NA","NA","JQ867525","NA","NA","NA","NA","NA","NA","Azteca_oecocordia","Azteca","Azteca","Dolichoderinae","Formicidae","602887","Azteca_oecocordia","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"EF012842","EF012970","EF013098","NA","EF013550","JQ867544","EF013231","EF013393","FJ939849","FJ939903","NA","NA","Azteca_ovaticeps","Azteca","Azteca","Dolichoderinae","Formicidae","411736","Azteca_ovaticeps","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"NA","NA","NA","NA","NA","JQ867650","NA","NA","NA","NA","NA","NA","Azteca_pittieri","Azteca","Azteca","Dolichoderinae","Formicidae","602893","Azteca_pittieri","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"NA","NA","NA","NA","NA","JQ867506","NA","NA","NA","NA","NA","NA","Azteca_quadraticeps","Azteca","Azteca","Dolichoderinae","Formicidae","602896","Azteca_quadraticeps","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"FJ939751","FJ939783","FJ939815","FJ940019","FJ939986","NA","FJ940051","FJ939954","FJ939850","FJ939904","NA","NA","Azteca_schimperi","Azteca","Azteca","Dolichoderinae","Formicidae","602899","Azteca_schimperi","Hymenoptera","Azteca",0.08,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"FJ939772","FJ939804","FJ939836","KM579310","KM597363","NA","FJ940072","FJ939975","FJ939884","FJ939938","NA","NA","Ravavy_miafina","Ravavy","Bothriomyrmecini","Dolichoderinae","Formicidae","708228","Ravavy_miafina","Hymenoptera","Ravavy",1,NA,NA,NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"DQ353488","DQ353669","DQ352873","DQ353061","DQ353152","NA","NA","NA","NA","NA","NA","NA","Bothriomyrmex_meridionalis","Bothriomyrmex","Bothriomyrmex","Dolichoderinae","Formicidae","369102","Bothriomyrmex_hispanicus","Hymenoptera","Bothriomyrmex",0.12,"1","0","0&1","1","0","0&1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1"
"FJ939752","FJ939784","FJ939816","FJ940020","FJ939987","NA","FJ940052","FJ939955","FJ939851","FJ939905","NA","NA","Bothriomyrmex_paradoxus","Bothriomyrmex","Bothriomyrmex","Dolichoderinae","Formicidae","604499","Bothriomyrmex_paradoxus","Hymenoptera","Bothriomyrmex",0.12,"1","0","0&1","1","0","0&1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1"
"FJ939753","FJ939785","FJ939817","FJ940021","FJ939988","NA","FJ940053","FJ939956","FJ939852","FJ939906","NA","NA","Bothriomyrmex_saundersi","Bothriomyrmex","Bothriomyrmex","Dolichoderinae","Formicidae","604506","Bothriomyrmex_saundersi","Hymenoptera","Bothriomyrmex",0.12,"1","0","0&1","1","0","0&1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1"
"FJ939754","FJ939786","FJ939818","FJ940022","FJ939989","NA","FJ940054","FJ939957","FJ939853","FJ939907","NA","NA","Chronoxenus_wroughtonii","Chronoxenus","Chronoxenus","Dolichoderinae","Formicidae","715508","Chronoxenus_javanus","Hymenoptera","Chronoxenus",0.17,"1","0","0&1","1","0","0&1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1"
"FJ939755","FJ939787","FJ939819","FJ940023","FJ939990","NA","FJ940055","FJ939958","FJ939854","FJ939908","NA","NA","Doleromyrma_darwiniana","Doleromyrma","Doleromyrma","Dolichoderinae","Formicidae","609327","Doleromyrma_darwiniana","Hymenoptera","Doleromyrma",0.5,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"FJ939756","FJ939788","FJ939820","FJ940024","FJ939991","NA","FJ940056","FJ939959","FJ939855","FJ939909","NA","NA","Dolichoderus_debilis","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","609363","Dolichoderus_debilis","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"FJ939757","FJ939789","FJ939821","FJ940025","FJ939992","NA","FJ940057","FJ939960","FJ939856","FJ939910","NA","NA","Dolichoderus_decollatus","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","609364","Dolichoderus_decollatus","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"FJ939758","FJ939790","FJ939822","FJ940026","FJ939993","NA","FJ940058","FJ939961","FJ939857","FJ939911","NA","NA","Dolichoderus_erectilobus","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","609370","Dolichoderus_erectilobus","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"NA","DQ353570","DQ352930","DQ353069","NA","DQ353396","NA","NA","NA","NA","NA","NA","Dolichoderus_imitator","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","369125","Dolichoderus_imitator","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"FJ939759","FJ939791","FJ939823","FJ940027","FJ939994","NA","FJ940059","FJ939962","FJ939858","FJ939912","NA","NA","Dolichoderus_lamellosus","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","609396","Dolichoderus_lamellosus","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"FJ939760","FJ939792","FJ939824","KR829181","KR829554","NA","FJ940060","FJ939963","FJ939859","FJ939913","KJ523685","KJ523602","Dolichoderus_pustulatus","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","609426","Dolichoderus_pustulatus","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"EF012860","NA","EF013116","EF013696","EF013568","NA","EF013254","EF013416","FJ939860","FJ939914","NA","NA","Dolichoderus_scabridus","Dolichoderus","Dolichoderus","Dolichoderinae","Formicidae","411747","Dolichoderus_scabridus","Hymenoptera","Dolichoderus",0.05,"1","0&1","0&1","1","0&1","0&1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1"
"EF012862","EF012990","EF013118","EF013698","EF013570","HQ207389","EF013257","EF013419","FJ939861","FJ939915","NA","NA","Dorymyrmex_bicolor","Dorymyrmex","Dorymyrmex","Dolichoderinae","Formicidae","411748","Dorymyrmex_bicolor","Hymenoptera","Dorymyrmex",0.07,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"NA","DQ353633","DQ352955","DQ353062","DQ353155","DQ353369","NA","NA","NA","NA","NA","NA","Dorymyrmex_elegans","Dorymyrmex","Dorymyrmex","Dolichoderinae","Formicidae","369126","Dorymyrmex_elegans","Hymenoptera","Dorymyrmex",0.07,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"NA","NA","NA","NA","NA","KM538013","NA","NA","NA","NA","NA","NA","Dorymyrmex_grandulus","Dorymyrmex","Dorymyrmex","Dolichoderinae","Formicidae","609551","Dorymyrmex_grandulus","Hymenoptera","Dorymyrmex",0.07,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"FJ939761","FJ939793","FJ939825","FJ940029","FJ939996","NA","FJ940061","FJ939964","FJ939862","FJ939916","NA","NA","Dorymyrmex_planidens","Dorymyrmex","Dorymyrmex","Dolichoderinae","Formicidae","609565","Dorymyrmex_planidens","Hymenoptera","Dorymyrmex",0.07,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"FJ939762","FJ939794","FJ939826","FJ940030","FJ939997","NA","FJ940062","FJ939965","FJ939863","FJ939917","NA","NA","Forelius_chalybaeus","Forelius","Forelius","Dolichoderinae","Formicidae","121505","Forelius_chalybaeus","Hymenoptera","Forelius",0.11,"1","0","0&1","1","0","0&1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1"
"EF012866","EF012994","EF013122","EF013702","EF013574","HQ207390","EF013262","EF013424","FJ939864","FJ939918","NA","NA","Forelius_pruinosus","Forelius","Forelius","Dolichoderinae","Formicidae","411751","Forelius_pruinosus","Hymenoptera","Forelius",0.11,"1","0","0&1","1","0","0&1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1"
"FJ939763","FJ939795","FJ939827","FJ940031","FJ939998","NA","FJ940063","FJ939966","FJ939865","FJ939919","NA","NA","Froggattella_kirbii","Froggattella","Froggattella","Dolichoderinae","Formicidae","609918","Froggattella_kirbii","Hymenoptera","Froggattella",1,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"NA","DQ353619","DQ352983","NA","DQ353199","DQ353341","NA","NA","NA","NA","NA","NA","Froggattella_latispina","Froggattella","Froggattella","Dolichoderinae","Formicidae","369138","Froggattella_latispina","Hymenoptera","Froggattella",1,"1","1","0&1","1","1","0&1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0"
"FJ939764","FJ939796","FJ939828","FJ940032","FJ939999","NA","FJ940064","FJ939967","FJ939866","FJ939920","NA","NA","Gracilidris_pombero","Gracilidris","Gracilidris","Dolichoderinae","Formicidae","610067","Gracilidris_pombero","Hymenoptera","Gracilidris",1,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"FJ939766","FJ939798","FJ939830","FJ940034","FJ940001","NA","FJ940066","FJ939969","FJ939868","FJ939922","NA","NA","Iridomyrmex_pallidus","Iridomyrmex","Iridomyrmex","Dolichoderinae","Formicidae","715509","Iridomyrmex_pallidus","Hymenoptera","Iridomyrmex",0.05,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
"NA","NA","NA","NA","NA","FJ161708","NA","NA","NA","NA","NA","NA","Iridomyrmex_purpureus","Iridomyrmex","Iridomyrmex","Dolichoderinae","Formicidae","561532","Iridomyrmex_purpureus","Hymenoptera","Iridomyrmex",0.05,"1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1"
